,user_name,game_name,title,viewer_count,started_at,api_call_time
0,Riot Games,League of Legends,MSI 2021 Semifinals Day 2: DWG KIA vs. MAD Lions,213329,2021-05-22 11:37:51,2021-05-22T15:06:07.937450
1,DreamLeague,Dota 2,LIVE: OG vs. Tundra Esports - DreamLeague S15 DPC WEU - Tiebreaker,85937,2021-05-22 12:14:31,2021-05-22T15:06:07.937450
2,Rainbow6,Tom Clancy's Rainbow Six Siege,MIBR vs Ninjas in Pyjamas // SIX INVITATIONAL 2021 – UB Final – Day 4,83055,2021-05-22 10:37:17,2021-05-22T15:06:07.937450
3,TubboLIVE,Minecraft,275,42118,2021-05-22 13:42:45,2021-05-22T15:06:07.937450
4,shroud,VALORANT,why am i still online |    Follow @shroud on socials,36571,2021-05-21 21:46:36,2021-05-22T15:06:07.937450
5,TimTheTatman,Call of Duty: Warzone,extra Saturday stream - !youtube4,26931,2021-05-22 13:31:24,2021-05-22T15:06:07.937450
6,ROSHTEIN,Slots,⭐ €700.000 ⭐ €1 MIL WIN - !RECORD 💠 check - !MBIT for 150% NON-STICKY💠!TROPICAL for 150%💠 !SUNPURA for 150%,19324,2021-05-22 11:27:59,2021-05-22T15:06:07.937450
7,CohhCarnage,Days Gone,Days Gone (PC - Finishing story?) - Thanks @BendStudio for the key! - !AlmostThere - !NewKid - !Bike - #EpicPartner Creator Code: Cohh,18395,2021-05-22 11:52:07,2021-05-22T15:06:07.937450
8,Asmongold,World of Warcraft,TBC HYPE--BIG CHANGES--BIG DRAMA LMFAO--MIGHT CONTINUE BOOSTY BOY RAID--9.1 NEWS--MOUNT FARMING--GUILD PLANNING,18128,2021-05-22 14:37:47,2021-05-22T15:06:07.937450
9,Nmplol,FIFA 21,Pretzel Day :),17971,2021-05-22 12:58:48,2021-05-22T15:06:07.937450
10,Fextralife,Biomutant,🔴!giveaway for BIOMUTANT🔴YESTERDAY'S HIGHLIGHTS and Q&A with CAS! !biomutant,17870,2021-05-22 12:17:36,2021-05-22T15:06:07.937450
11,Kyle,Grand Theft Auto V,Emperor Kyle Pred - nopixel,16451,2021-05-22 13:03:37,2021-05-22T15:06:07.937450
12,cxmmunityco,Among Us,100 Girls of Code Among Us Tournament,15436,2021-05-22 13:56:47,2021-05-22T15:06:07.937450
13,Symfuhny,Call of Duty: Warzone,"INSANE HIGH KILL WARZONE WINS CLICK NOW!!!!
",15426,2021-05-22 13:38:18,2021-05-22T15:06:07.937450
14,ShivFPS,Apex Legends,Solo queue pubs/ranked | !Socials for updates !gfuel ,12708,2021-05-22 11:13:12,2021-05-22T15:06:07.937450
15,lol_nemesis,League of Legends,MSI Liveview w/ Fudge DWG VS MAD   | !blitz !nord  | ,10437,2021-05-22 10:10:03,2021-05-22T15:06:07.937450
16,Enviosity,Genshin Impact,EULA SOLO EVERYTHING TODAY? | Day 238,9947,2021-05-22 13:07:22,2021-05-22T15:06:07.937450
17,Ray__C,Grand Theft Auto V,LONG Stream Subathon!! - Raymond Romanov GTA! Vault Heist Progress - NoPixel! !subathon,9902,2021-05-22 02:23:16,2021-05-22T15:06:07.937450
18,WorldofTanks,World of Tanks,Clan Rivals Summer Assault Day 1,8679,2021-05-22 12:55:27,2021-05-22T15:06:07.937450
19,RedBull,Guilty Gear: Strive,Day 1: Guilty Gear Strive Showcase + Street Fighter V Team Tournament,8395,2021-05-22 12:45:10,2021-05-22T15:06:07.937450
20,SteveSuptic,Among Us,[NO SPOILERS] Among Us's greatest detective is finally done being toxic to Koji,8393,2021-05-22 13:59:13,2021-05-22T15:06:07.937450
21,Quin69,Just Chatting,HARDCORE MINECRAFT IN VIRTUAL REALITY = TODAY.,8042,2021-05-22 14:00:38,2021-05-22T15:06:07.937450
22,EmadGG,Fortnite,DROPS ENABLED !Drops | EU FNCS HEAT 1 VIEWING PARTY! (GAME 4/6) | !1 !Watching,7300,2021-05-22 11:46:41,2021-05-22T15:06:07.937450
