,username,video_title,publish_time,comment_count,dislike count,like_count,view_count,api_call_time
0,HYBE LABELS,BTS (방탄소년단) &#39;Butter&#39; Official Teaser,2021-05-18T15:00:02Z,1015634,20321,3662630,31702002,2021-05-19T17:47:58.365526
1,Liverpool FC,Highlights: West Brom 1-2 Liverpool | ALISSON heads the winner in injury time!,2021-05-16T19:34:39Z,5368,3212,137974,7957409,2021-05-19T17:47:58.365526
2,Bella Poarch,Bella Poarch - Build a B*tch (Official Music Video),2021-05-14T04:00:16Z,267211,127940,4857249,63530789,2021-05-19T17:47:58.365526
3,TWICE,JIHYO PERFORMANCE PROJECT &quot;Crown (Camila Cabello &amp; Grey)&quot; Cover by JIHYO,2021-05-18T14:59:58Z,56892,5660,579572,2888421,2021-05-19T17:47:58.365526
4,twenty one pilots,Twenty One Pilots - Saturday (Lyric Video),2021-05-18T16:02:45Z,19137,1983,230687,1332827,2021-05-19T17:47:58.365526
5,SMTOWN,TAEMIN 태민 &#39;Advice&#39; MV,2021-05-18T09:00:16Z,52757,2858,604480,5576536,2021-05-19T17:47:58.365526
6,Kimberly Loaiza,LE HICIMOS UNA FIESTA A KIMA Y A JUANITO 😱 Jukilop / Kimberly Loaiza,2021-05-17T20:46:45Z,58796,10256,869283,9959677,2021-05-19T17:47:58.365526
7,DoofCentraal,Eurovision Song Contest in International Sign - Semi-final #1,2021-05-19T09:20:51Z,8229,2897,67618,2190473,2021-05-19T17:47:58.365526
8,Pretty Good Gaming,Ubisoft Hasn’t Fixed its Toxic Culture | DIE HARD and RAMBO in CoD | Mass Effect Tops the Charts,2021-05-19T17:33:03Z,2626,767,30955,488009,2021-05-19T17:47:58.365526
9,Dude Perfect,Bucket List: South Africa,2021-05-17T21:59:59Z,29985,3086,437160,6722347,2021-05-19T17:47:58.365526
10,Manchester United,Cavani hits long-range stunner as fans return to Old Trafford | Manchester United 1-1 Fulham,2021-05-18T21:00:01Z,1338,564,35452,1667748,2021-05-19T17:47:58.365526
11,TheGrefg,COMPRANDO UN TESLA ¿ROADSTER O MODEL S? - TheGrefg,2021-05-16T21:49:44Z,30808,5167,1115659,3603762,2021-05-19T17:47:58.365526
12,The Tonight Show Starring Jimmy Fallon,Natti Natasha x Becky G: Ram Pam Pam | The Tonight Show Starring Jimmy Fallon,2021-05-18T04:33:15Z,1193,534,23110,409672,2021-05-19T17:47:58.365526
13,Dan Rhodes,Crazy STATIC TRICK! 😨 #shorts,2021-05-15T11:06:18Z,20544,87343,2544585,75780929,2021-05-19T17:47:58.365526
14,KomorekW,EUROWIZJA 2021: PIERWSZY PÓŁFINAŁ,2021-05-19T17:00:30Z,23229,11773,131918,2416077,2021-05-19T17:47:58.365526
15,Miniminter,A Very Personal Mukbang With KSI,2021-05-18T15:30:01Z,4197,880,215147,2021463,2021-05-19T17:47:58.365526
16,DShanto,EL RICO HUMILLANDO AL POBRE FREE FIRE RANDOM- Dshanto,2021-05-18T21:27:21Z,1409,315,35495,275127,2021-05-19T17:47:58.365526
17,Mark Rober,Backyard Squirrel Maze 2.0- The Walnut Heist,2021-05-18T20:34:52Z,36642,2520,722040,6437757,2021-05-19T17:47:58.365526
18,TheDonato,ESTABAMOS OCULTANDO ESTO MI NOVIA Y YO... | TheDonato y Barbie,2021-05-17T04:51:47Z,34423,9728,486415,2745969,2021-05-19T17:47:58.365526
19,KomorekW,EUROWIZJA 2021: PIERWSZY PÓŁFINAŁ,2021-05-19T17:00:30Z,29101,22045,172536,3440286,2021-05-19T17:47:58.365526
20,Romina Gafur,He lost his head!! #Shorts,2021-05-18T01:44:00Z,1901,11564,149265,5185649,2021-05-19T17:47:58.365526
21,Skillroom,بررسی کامل M1 imac : وقعا فوق العاده است ! | M1 iMac review,2021-05-19T17:30:01Z,10482,2380,137528,2776744,2021-05-19T17:47:58.365526
22,AnthonySenpai,Money Plinko Challenge! 💰 #shorts,2021-05-14T22:57:41Z,4512,69883,1941017,72348608,2021-05-19T17:47:58.365526
23,Tool_Tips,#shorts The Best,2021-05-17T17:25:11Z,803,4007,88987,3125537,2021-05-19T17:47:58.365526
24,Sky News,Israel Unrest: Hamas launches rocket attack on Tel Aviv,2021-05-11T21:34:22Z,55436,27855,214795,21244069,2021-05-19T17:47:58.365526
25,jeffreestar,The TRUTH About My Car Accident.,2021-05-18T17:00:09Z,7304,3601,49320,1023128,2021-05-19T17:47:58.365526
26,aespa,⚔️ aespa &#39;Next Level&#39; MV Reaction⚔️,2021-05-18T09:00:11Z,7843,2108,163507,1437346,2021-05-19T17:47:58.365526
27,Missology Hanssell Smith,TOP 10 PRELIMINARY COMPETITION MISS UNIVERSE,2021-05-15T08:30:00Z,27501,4480,125062,8204630,2021-05-19T17:47:58.365526
28,Keetin Long,Dear Evan Hansen Trailer Reaction!! Movie Musical,2021-05-18T16:23:48Z,3076,692,35310,878034,2021-05-19T17:47:58.365526
29,Kita Heiyan Headphones!!! [HeiyanMC],KTV4K8K - Time Signal 12h (Từ 14/05/2021).,2021-05-14T14:30:17Z,33901,4149,133544,8603417,2021-05-19T17:47:58.365526
30,Sidhu Moose Wala,Bitch I&#39;m Back (Official Audio) - Sidhu Moose Wala | Moosetape,2021-05-15T07:15:17Z,341328,44516,1066902,18668010,2021-05-19T17:47:58.365526
31,The Emirates FA Cup,Chelsea v Leicester City | Key Moments | Final | Emirates FA Cup 2020-21,2021-05-15T19:03:45Z,3400,1758,44192,2967469,2021-05-19T17:47:58.365526
32,TIKTORIKI,Do you know what the result will be? #shorts Tiktok Tutorial by Tiktoriki,2021-05-17T07:00:10Z,550,22789,200855,18104031,2021-05-19T17:47:58.365526
33,Lil Durk,Lil Durk - Should&#39;ve Ducked feat. Pooh Shiesty (Official Music Video),2021-05-17T19:00:13Z,11770,2248,148413,2381563,2021-05-19T17:47:58.365526
34,Tom Scott,I promise this story about microwaves is interesting.,2021-05-17T15:00:02Z,9196,882,215279,1725364,2021-05-19T17:47:58.365526
35,SMTOWN,NCT DREAM 엔시티 드림 &#39;맛 (Hot Sauce)&#39; MV,2021-05-10T09:02:33Z,832564,35580,2413778,77370247,2021-05-19T17:47:58.365526
36,CRUX,How Is Israel’s Iron Dome Defence System Helping It Counter Palestine’s Rocket Attacks?,2021-05-13T13:15:02Z,16041,15861,54303,6899425,2021-05-19T17:47:58.365526
37,WadZee,I Built a MANSION out of MELONS in Minecraft Hardcore... Part Two (#42),2021-05-17T14:28:24Z,18717,1064,156059,1923377,2021-05-19T17:47:58.365526
38,Liverpool FC,Highlights: Man Utd 2-4 Liverpool,2021-05-13T23:00:05Z,3333,3868,81751,5004792,2021-05-19T17:47:58.365526
39,Wael Kfoury Radio,Wael Kfoury - Kelna Mnenjar - [ Down Town] Lyrics 2021 وائل كفوري - كلنا مننجر - مسلسل &quot; داون تاون &quot;,2021-05-17T22:06:24Z,721,347,15102,485528,2021-05-19T17:47:58.365526
40,Amazon Prime Video India,"The Family Man Season 2 - Official Trailer 4K | Raj &amp; DK | Manoj Bajpayee, Samantha |Amazon Original",2021-05-19T03:30:16Z,24346,8326,467396,10515910,2021-05-19T17:47:58.365526
41,Arirang News,Israeli military unleashes another heavy wave of airstrikes on Gaza Strip,2021-05-17T23:48:29Z,2984,522,6366,698405,2021-05-19T17:47:58.365526
42,Dave2D,M1 iMac Review - Better and Worse,2021-05-18T13:02:41Z,2890,682,37016,654186,2021-05-19T17:47:58.365526
43,Practical Engineering,What Really Happened at the Oroville Dam Spillway?,2021-05-18T12:30:19Z,2315,234,34323,421525,2021-05-19T17:47:58.365526
44,ONE Media,VENOM 2 Official Trailer (2021),2021-05-10T13:05:03Z,22936,7913,591110,19355745,2021-05-19T17:47:58.365526
45,Roberto Mtz,CREATIVO #118 - WEREVERTUMORRO,2021-05-17T21:50:45Z,2315,635,41047,747165,2021-05-19T17:47:58.365526
