,username,video_title,publish_time,view_count,comment_count,like_count,dislike count,api_call_time
0,EA SPORTS FIFA,FIFA 22 | Official Reveal Trailer,2021-07-11T15:30:10Z,2469759,10695,121574,19957,2021-07-13T08:37:07.573087
1,MrBeast,"Offering Kids $100,000 To Quit School",2021-07-10T20:00:09Z,23414515,61256,1288588,15767,2021-07-13T08:37:07.573087
2,Goodwin Family,Bringing Down the House #shorts,2021-07-04T06:47:53Z,50521442,5770,1354928,78897,2021-07-13T08:37:07.573087
3,BT Sport,&quot;This guy is a dirtbag!&quot; Dustin Poirier on Conor McGregor after heated UFC 264 main event.,2021-07-11T04:43:13Z,6362990,13236,75348,5223,2021-07-13T08:37:07.573087
4,Virgin Galactic,WATCH LIVE: Virgin Galactic Unity 22 Spaceflight Livestream,2021-07-11T17:00:43Z,7643181,3803,105493,4097,2021-07-13T08:37:07.573087
5,TheKidLAROIVEVO,"The Kid LAROI, Justin Bieber - Stay (Official Video)",2021-07-09T04:00:12Z,10256400,42551,651633,7911,2021-07-13T08:37:07.573087
6,Mora,Mora x Bad Bunny x Sech - Volando Remix (Video Oficial),2021-07-08T19:00:09Z,12476709,21631,642133,7180,2021-07-13T08:37:07.573087
7,BT Sport,&quot;What are you doing bro? That&#39;s disgusting!&quot; Dustin Poirier heated interview after UFC 264,2021-07-11T07:21:24Z,3201468,8563,44626,1770,2021-07-13T08:37:07.573087
8,Guardian Sport,Euro 2020 final: Italy and England fans react to final penalty kick,2021-07-11T23:15:32Z,799862,2430,9387,216,2021-07-13T08:37:07.573087
9,Rusher King,"Rusherking, Duki - BAILANDO TE CONOCI (Official Video)",2021-07-08T23:00:14Z,6716699,15275,489094,4052,2021-07-13T08:37:07.573087
10,Thogden,The Moment England Lose to Italy on Penalties | EURO 2020 Final,2021-07-12T00:31:57Z,937159,16922,35308,3100,2021-07-13T08:37:07.573087
11,Virgin Galactic,Richard Branson&#39;s Message From Space,2021-07-11T18:39:58Z,1661576,6515,56486,2252,2021-07-13T08:37:07.573087
12,Joe Porter,Cool Musical Sound Effects on Different Instruments #shorts,2021-07-06T04:10:27Z,13150352,4878,953039,14702,2021-07-13T08:37:07.573087
13,Mark Rober,Why do Sharks Attack GoPros?,2021-07-12T17:13:11Z,3043541,13228,230321,2578,2021-07-13T08:37:07.573087
14,Nika TUBE,"Creative Video | Pub street food and cooking , dinner, drink , BBQ restaurant",2021-06-29T11:44:50Z,22743462,1477,151212,26372,2021-07-13T08:37:07.573087
15,BillieEilishVEVO,Billie Eilish - NDA (Official Music Video),2021-07-09T04:00:09Z,13240211,83099,1082917,29169,2021-07-13T08:37:07.573087
16,VS Gaming VS creation,"free fire new gun uzi  kils uzi gun-para A2,B4,R7,A4,K9,G6,H5,S3,F5,F6,F9,G7,M9,",2021-06-30T00:57:02Z,6136941,4949,142953,4790,2021-07-13T08:37:07.573087
17,Sanjay 10,Argentina-Champion Copa America 2021 after 28 years|Highlights and Celebration|Sanjay Hitan,2021-07-11T04:43:43Z,3049909,3142,47461,917,2021-07-13T08:37:07.573087
18,ingratax,Ingratax - Paris (Official Video),2021-07-08T21:00:09Z,3806178,13151,488260,5557,2021-07-13T08:37:07.573087
19,MMA Talk,"Conor McGregor BREAKS SILENCE following UFC 264 loss,Dana White on McGregor insulting Poirier&#39;s wife",2021-07-11T12:41:35Z,693975,4959,5906,732,2021-07-13T08:37:07.573087
20,PWR,Who Is The *BEST* Player in PWR? (Tournament),2021-07-11T17:43:12Z,440609,647,18386,200,2021-07-13T08:37:07.573087
21,AFP News Agency,Argentines celebrate Copa America victory in Buenos Aires | AFP,2021-07-11T03:14:29Z,606242,1031,16941,222,2021-07-13T08:37:07.573087
22,Indian Rapscallion,Heel Step Smash Gameplay #3 #shorts #Heelstepsmash,2021-06-29T12:21:28Z,22314589,1721,308794,51726,2021-07-13T08:37:07.573087
23,The Swoon,"Song Kang gives Han So-hee birthday kisses on the kitchen countertop | Nevertheless, Ep 4 [ENG SUB]",2021-07-12T01:00:05Z,1856466,1062,26960,504,2021-07-13T08:37:07.573087
24,AFP News Agency,Euro 2020: Italian team returns home after tournament victory | AFP,2021-07-12T05:44:28Z,1040831,1790,17698,403,2021-07-13T08:37:07.573087
25,Fight Focus,What ACTUALLY HAPPENED at UFC 264 (Conor McGregor Vs Dustin Poirier 3) Full Fight + Highlights Recap,2021-07-11T07:23:47Z,4091866,3733,18302,14851,2021-07-13T08:37:07.573087
26,Balkaton Gang,RASTA x VOYAGE - AMAN (OFFICIAL VIDEO),2021-07-12T10:00:08Z,997134,3029,76324,1409,2021-07-13T08:37:07.573087
27,America's Got Talent,Golden Buzzer: 9-Year-Old Victory Brinker Makes AGT HISTORY! - America&#39;s Got Talent 2021,2021-07-07T01:58:39Z,8071486,10715,157756,4450,2021-07-13T08:37:07.573087
28,LastWeekTonight,Octopuses: Last Week Tonight with John Oliver (Web Exclusive),2021-07-12T03:00:01Z,2027608,9126,106727,2394,2021-07-13T08:37:07.573087
29,MORGENSHTERN,"MORGENSHTERN - NOMINALO (Official Video, 2021)",2021-07-06T20:05:00Z,8485571,55225,706286,39907,2021-07-13T08:37:07.573087
30,Sky Sports Football,&quot;The penalty decisions are on me&quot; | Gareth Southgate on England&#39;s Euro 2020 final defeat to Italy,2021-07-11T23:55:37Z,374126,3777,6280,454,2021-07-13T08:37:07.573087
31,FortNine,Why Millions Buy Harley-Davidson Motorcycles,2021-07-11T15:00:13Z,440518,3697,32404,385,2021-07-13T08:37:07.573087
32,Santan Dave,Dave - Clash (ft. Stormzy),2021-07-09T11:20:45Z,2641930,8015,136494,2351,2021-07-13T08:37:07.573087
33,Hella Cash,ASHAFAR x MORAD - AMS - BCN (prod. Keyser Soze),2021-07-12T12:00:11Z,183415,560,13291,181,2021-07-13T08:37:07.573087
34,Netflix,The Witcher: Season 2 Teaser Trailer | Netflix,2021-07-09T20:53:22Z,4548644,10572,222243,3210,2021-07-13T08:37:07.573087
35,IDJVideos.TV,VOYAGE X SNIK - BOUNCE (OFFICIAL VIDEO),2021-07-04T10:00:10Z,5966206,7625,112787,5820,2021-07-13T08:37:07.573087
36,The Try Guys,Try Guys Bake Muffins Without A Recipe,2021-07-10T15:00:03Z,1519530,4547,82670,744,2021-07-13T08:37:07.573087
37,Ed Sheeran,Ed Sheeran - Bad Habits [Official Video],2021-06-25T04:00:33Z,58529339,90124,1510896,52752,2021-07-13T08:37:07.573087
38,BD10HD,Lionel Messi Celebrations &amp; Crazy Moments After Winning !,2021-07-11T03:27:00Z,1958858,2540,45036,853,2021-07-13T08:37:07.573087
39,Lyrical Lemonade,Post Malone - Motley Crew (Directed by Cole Bennett),2021-07-09T04:27:05Z,7353564,23807,479734,11495,2021-07-13T08:37:07.573087
40,ESPN,Stephen A. Smith reacts to Poirier vs. McGregor 3 at #UFC264 | SportsCenter,2021-07-11T05:19:04Z,924711,3452,10594,1218,2021-07-13T08:37:07.573087
41,Truecaller,Call up to 8 people with Truecaller,2021-06-23T06:00:19Z,1569183,360,10304,2039,2021-07-13T08:37:07.573087
42,Generacija Zed,Nucci - BeBo 2 (Official Video) Prod. by Popov,2021-06-26T12:00:02Z,5647013,4331,100246,6858,2021-07-13T08:37:07.573087
43,NASASpaceflight,Virgin Galactic launches Richard Branson to space on Unity 22,2021-07-11T17:08:05Z,1677724,366,19129,876,2021-07-13T08:37:07.573087
44,Veritasium,The Biggest Myth In Education,2021-07-09T14:27:22Z,4772369,24300,250690,5210,2021-07-13T08:37:07.573087
45,SH10Comps,Lionel Messi Destroyed Brazil and Won First International Trophy,2021-07-11T02:54:51Z,1860306,1792,25494,1446,2021-07-13T08:37:07.573087
46,BIAVEVO,BIA - WHOLE LOTTA MONEY (Remix - Official Audio) ft. Nicki Minaj,2021-07-08T20:14:45Z,2667916,12587,148833,3089,2021-07-13T08:37:07.573087
47,FailArmy,BEST FAILS OF THE YEAR (So Far) 2021 | FailArmy,2021-07-09T13:00:31Z,2191985,1156,21306,958,2021-07-13T08:37:07.573087
48,All Blacks,HIGHLIGHTS: All Blacks v Fiji  (Dunedin 2021),2021-07-10T09:27:54Z,489358,1156,5190,170,2021-07-13T08:37:07.573087
49,SamSpedy,AFRICAN HOME: RULES &amp; REGULATIONS | EPISODE TWO (VISITORS),2021-07-10T16:37:14Z,639587,2498,28214,336,2021-07-13T08:37:07.573087
